_id,count,username
9999568,128,[anonymous]
9999805,110,anonymousmc
9998831,89,iddqd4
9999244,76,gracjanski
9996672,58,titaniumdragon
9998869,57,golova
9998481,49,tomle1202
9999289,49,iseeall
9998738,49,wiebe
9994865,49,mandulum
9996050,47,ragingpoet
9998643,46,broyax
9999243,44,deusxcom
9998873,42,choicestgames
9999880,42,keefbaker
9999338,42,silverorlov
9999388,40,genek13
9999392,40,jaydenpickens
9999268,39,suneater
9998056,36,superkengaming
9998819,35,woolee
9998711,34,sinadoom
9994111,34,rodericrinehart
9999433,34,klewer
9995500,33,jimcorbett
9995452,33,bancandrei
9999175,30,lawgun
9999375,30,whitespider999
9998640,30,rzno157
9998642,29,cz3rw0ny
9997913,29,bloodnes
9993625,28,lifehistory
9998501,27,marick
9996513,27,curzon_dax
9998708,27,silenceisgolden
9995620,27,basem101
9998715,27,jonesr
9998465,26,babutto
9998827,26,uncleed
9996625,26,hoanns
9991250,26,aditya1101
9998867,26,aeryx
9995603,26,shkipermann
9994643,26,nitorita
9998475,26,captain_chaos
9997582,25,starkagentos
9996988,25,vasot
9993957,25,mahdiar
9999164,25,eraytellezi
9999428,25,astix
9998637,25,izoeros
9998858,24,kane148
9998485,24,basilzero
9996942,24,the_d4rkness
9991546,24,auditbadger
9985512,23,underpants158
9998026,23,kezzyhko
9994167,23,sepherim
9999814,22,mikew.
9983424,22,dco326
9994648,22,muzmuz
9995453,21,wrathzo
9998327,21,faceless-1
9998144,21,tubey
9998460,21,orctownorc
9998178,21,pmstz
9996500,20,alienspacebats
9998905,20,tubie
9991283,20,tsakiym
9996793,20,panica3643d
9999958,20,yaav13
9993951,20,everin
9992444,20,necrotaur
9998471,20,kotofon
9998593,19,theirrelephants
9999331,19,wweald
9998129,19,chesterfield
9988020,19,hsuke
9992277,19,sh4dow
9999326,19,vigilanteoito
9998295,18,fuzz
9990342,18,michaelb1928
9999394,18,matseb2611
9998352,18,ffstudios
9999798,18,whatever523
9994117,18,panmrkvicka
9996668,18,jt0429
9998818,18,esthete
9989219,18,sholva
9988899,18,djkrimson
9990349,17,dandalis
9998898,17,the_ommadawn
9997240,17,chimp
9996170,17,shimmeywill
9988580,17,avadon
9996449,17,dalek
9998718,17,grandpajoe6191
9998833,17,kirase
9998018,17,gloriouspotato
9997287,17,mugsy
9997901,17,jelikey
9998002,17,soullex
9993660,17,ns0l
9999720,17,chris_192
9996142,17,budget_security
9995917,17,torgall
9999580,17,jwt7000
9998272,16,hackensack
9991016,16,elefsar
9996509,16,dubeau
9994083,16,oshiri_maeda
9999539,16,andrewg.
9989652,16,shatarah
9998571,16,kai82
9995593,16,storygamer
9998621,16,samf.
9996598,16,bulgariancritic
9990387,16,zer0theher0
9996532,16,violett
9994737,16,vova22379
9999452,16,snowshreder
9994125,16,smilzoboboz
9999178,16,jonsgone
9996761,15,ydun79
9999282,15,kaiekkrin
9999866,15,jjohn1
9999587,15,davenbettridge
9991609,15,ansatsu83
9994703,15,seryin
9996533,15,ananisapta
9999755,15,sn1p3ralex
9994733,15,psylife
9996370,15,marc5477
9997371,15,sjalka
9998734,15,diegochocho
9996620,15,frist_008
9988491,15,crackfarmer
9989828,15,tomaslacerda
9998050,15,joewashere
9989641,15,thegameisalie
9998655,15,steeldude
9998779,15,roboticsun
9999972,15,jack0980988098
9994305,15,bskierys
9982974,15,basic123
9997235,15,chrisb.
9999089,15,s3xu4lh34l1ng
9997325,15,4y4
9999429,14,sft
9992650,14,voyou
9998865,14,toffenuff
9996048,14,danil_shtangeev
9984862,14,chapa9dj
9997857,14,ultraviper
9985163,14,philzlz
9994725,14,amorph0us
9998854,14,wordy_actions
9999636,14,joeb.
9990844,14,profamateur
9998021,14,thewaffle
9999917,14,rezo_21
9987950,14,charlyplayman
9995299,14,claytality
9990331,14,crimert
9991168,14,hileger
9998216,14,kunray
9985384,13,archound
9995732,13,reubenisagod
9992237,13,allnewsuperfake
9975782,13,arislaf
9994148,13,goodmorningass
9997932,13,thecriticgod
9990812,13,tufekciero
9985847,13,r03vg
9997996,13,ylnylmn
9997569,13,completeidiot
9999939,13,socokid
9998053,13,night4
9995341,13,somedude14
9999246,13,rox22
9998591,13,carlosgtardon
9999090,13,renaigse
9994717,13,sinmaker
9996338,13,drlowdon
9998737,13,comandantecobra
9996666,13,fkh
9996798,13,xdavidx
9994171,13,maxmiliankohler
9999405,12,mikem.
9983639,12,jcasetnl
9998060,12,skulb
9996791,12,aralath
9996469,12,matthieur.
9999677,12,scottd.
9995920,12,gorbunov2004
9992284,12,brosman
9996246,12,xzippy
9999538,12,matth.
9997930,12,millersweeb
9999963,12,deadheadbill
9992860,12,billick
9999171,12,mazma
9998750,12,osmium
9998903,12,dethstar
9990481,12,dr-kenobi
9999699,12,bobbob
9998519,12,kndr
9999342,12,greenbey
9999109,12,shin777
9996055,12,szutyok47
9994689,12,madclownjack
9996610,12,baldursthones
